S/N,Category,Intent Type,Question/Article,Answer,1,Digital Club Free Trial,Unnamed: 2,Am I eligible for the 1 month free trial on FairPrice Digital Club?,"All FairPrice online customers who have not been a Digital Club member for the past 6 months are eligible for the 1st-month free trial. To check your eligibility, visit the sign-up page with your registered account.

Eligible customers will be able to see $0.00 on the payment page for their 1st month subscription. "
1,Top FAQs for FairPrice Online,HTML Formatted,I need to cancel an online order,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled
https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
",,,,,
,,HTML Formatted,how can I cancel my order,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled
https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
",,,,,
,,HTML Formatted,I need to cancel an order I placed online.,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled
https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
",,,,,
,,HTML Formatted,I changed my mind and would like to cancel my order,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled
https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
",,,,,
,,HTML Formatted,I need to cancel a purchase I made online.,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled
https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
",,,,,
2,Top FAQs for FairPrice Online,HTML Formatted,Can i add/remove items after making an online purchase,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-",,,,,
,,HTML Formatted,how do I change my online purchase?,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-",,,,,
,,HTML Formatted,Is it possible to make changes in my order?,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-",,,,,
,,HTML Formatted,i want to change my orders ,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-",,,,,
,,HTML Formatted,I accidentally ordered the wrong thing. How do I make a change?,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-",,,,,
