S/N,Category,Question/Article,Answer,Removed,URL,https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
1,Top FAQs for FairPrice Online,I need to cancel an online order,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled
https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
",,https://help.fairprice.com.sg/hc/en-us/articles/360025063832,
,,how can I cancel my order,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled
https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
",,,
,,I need to cancel an order I placed online.,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled
https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
",,,
,,I changed my mind and would like to cancel my order,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled
https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
",,,
,,I need to cancel a purchase I made online.,"Cancellation request must be submitted to us at least 24 hours prior to the delivery date. Otherwise, there will be a $10 cancellation charge (incl. GST).
For bulk orders, cancellation after the order confirmation is subjected to a surcharge of $30 (incl. GST).
If you have applied promo code to the order, the promo code can be reused after the order is cancelled. Please apply it on a new order before the original expiry date.
Via app
Via desktopStep 1: Sign In to your account.
Step 2: Click ""Orders"" and choose your ""Ongoing"" orders
Step 3: Click ""Cancel order""
Step 4: ""Select a reason"" for cancellation and click ""Submit""
Step 5: Your order will be cancelled
https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
",,,
2,Top FAQs for FairPrice Online,Can i add/remove items after making an online purchase,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-","Can I earn Linkpoints for payment of the additional items added?
Yes, Linkpoints will be awarded for all items delivered successfully.

Can I redeem Linkpoints during the payment of the additional items added?
Unfortunately, no Linkpoint redemptions are allowed for payments of amended orders.

Can I remove items after making an online purchase?
To remove items, please notify us via the web form at least 24 hours before the scheduled delivery date. You will receive an email on the order amendment once it is processed.
Alternatively, you may request a refund at one of our physical stores for items you wish to return. For requests below $200, simply bring items with you to any FairPrice store (excluding FairPrice Shop, FairPrice Express, and Cheers) to request a refund. Returned items must be in their original packaging with proof of purchase within 7 days of the date you received them.",https://help.fairprice.com.sg/hc/en-us/requests/new,
,,how do I change my online purchase?,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-","Can I earn Linkpoints for payment of the additional items added?
Yes, Linkpoints will be awarded for all items delivered successfully.

Can I redeem Linkpoints during the payment of the additional items added?
Unfortunately, no Linkpoint redemptions are allowed for payments of amended orders.

Can I remove items after making an online purchase?
To remove items, please notify us via the web form at least 24 hours before the scheduled delivery date. You will receive an email on the order amendment once it is processed.
Alternatively, you may request a refund at one of our physical stores for items you wish to return. For requests below $200, simply bring items with you to any FairPrice store (excluding FairPrice Shop, FairPrice Express, and Cheers) to request a refund. Returned items must be in their original packaging with proof of purchase within 7 days of the date you received them.",,
,,Is it possible to make changes in my order?,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-","Can I earn Linkpoints for payment of the additional items added?
Yes, Linkpoints will be awarded for all items delivered successfully.

Can I redeem Linkpoints during the payment of the additional items added?
Unfortunately, no Linkpoint redemptions are allowed for payments of amended orders.

Can I remove items after making an online purchase?
To remove items, please notify us via the web form at least 24 hours before the scheduled delivery date. You will receive an email on the order amendment once it is processed.
Alternatively, you may request a refund at one of our physical stores for items you wish to return. For requests below $200, simply bring items with you to any FairPrice store (excluding FairPrice Shop, FairPrice Express, and Cheers) to request a refund. Returned items must be in their original packaging with proof of purchase within 7 days of the date you received them.",https://help.fairprice.com.sg/hc/en-us/requests/new,
,,i want to change my orders ,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-","Can I earn Linkpoints for payment of the additional items added?
Yes, Linkpoints will be awarded for all items delivered successfully.

Can I redeem Linkpoints during the payment of the additional items added?
Unfortunately, no Linkpoint redemptions are allowed for payments of amended orders.

Can I remove items after making an online purchase?
To remove items, please notify us via the web form at least 24 hours before the scheduled delivery date. You will receive an email on the order amendment once it is processed.
Alternatively, you may request a refund at one of our physical stores for items you wish to return. For requests below $200, simply bring items with you to any FairPrice store (excluding FairPrice Shop, FairPrice Express, and Cheers) to request a refund. Returned items must be in their original packaging with proof of purchase within 7 days of the date you received them.",https://help.fairprice.com.sg/hc/en-us/requests/new,
,,I accidentally ordered the wrong thing. How do I make a change?,"Kindly ensure that your app is updated as adding items is only available for selected locations.  If you are not able to add items for your location, the alternative would be to place a new order. 

Amendments should be made 24 hours before scheduled delivery and up to two order amendments to add items are allowed.
Find more details on the following link
https://help.fairprice.com.sg/hc/en-us/articles/360021859491-Can-I-add-items-after-making-an-online-purchase-","Can I earn Linkpoints for payment of the additional items added?
Yes, Linkpoints will be awarded for all items delivered successfully.

Can I redeem Linkpoints during the payment of the additional items added?
Unfortunately, no Linkpoint redemptions are allowed for payments of amended orders.

Can I remove items after making an online purchase?
To remove items, please notify us via the web form at least 24 hours before the scheduled delivery date. You will receive an email on the order amendment once it is processed.
Alternatively, you may request a refund at one of our physical stores for items you wish to return. For requests below $200, simply bring items with you to any FairPrice store (excluding FairPrice Shop, FairPrice Express, and Cheers) to request a refund. Returned items must be in their original packaging with proof of purchase within 7 days of the date you received them.",https://help.fairprice.com.sg/hc/en-us/requests/new,
